No,no_focal,date,subject,time,activity,TG,Groomer,Groomee
1,A1,2018/10/8,Tot,0,R,G,NA,NA
2,A1,2018/10/8,Tot,1,R,G,NA,NA
3,A1,2018/10/8,Tot,2,R,G,NA,NA
4,A1,2018/10/8,Tot,3,R,G,NA,NA
5,A1,2018/10/8,Tot,4,R,G,NA,NA
6,A1,2018/10/8,Tot,5,R,G,NA,NA
7,A1,2018/10/8,Tot,6,R,G,NA,NA
8,A1,2018/10/8,Tot,7,R,G,NA,NA
9,A1,2018/10/8,Tot,8,M,G,NA,NA
10,A1,2018/10/8,Tot,9,G,G,Tot,In
11,A1,2018/10/8,Tot,10,G,G,Tot,In
12,A1,2018/10/8,Tot,11,G,G,Tot,J
13,A1,2018/10/8,Tot,12,G,G,Tot,J
14,A1,2018/10/8,Tot,13,F,G,NA,NA
15,A1,2018/10/8,Tot,14,G,G,Tot,J
16,A1,2018/10/8,Tot,15,G,G,Tot,J
17,A1,2018/10/8,Tot,16,R,G,NA,NA
18,A1,2018/10/8,Tot,17,R,G,NA,NA
19,A1,2018/10/8,Tot,18,R,G,NA,NA
20,A1,2018/10/8,Tot,19,M,G,NA,NA
21,A1,2018/10/8,Tot,20,F,G,NA,NA
22,A1,2018/10/8,Tot,21,F,T,NA,NA
23,A1,2018/10/8,Tot,22,F,T,NA,NA
24,A1,2018/10/8,Tot,23,F,T,NA,NA
25,A1,2018/10/8,Tot,24,F,T,NA,NA
26,A1,2018/10/8,Tot,25,F,T,NA,NA
27,A1,2018/10/8,Tot,26,F,T,NA,NA
28,A1,2018/10/8,Tot,27,F,T,NA,NA
29,A1,2018/10/8,Tot,28,M,G,NA,NA
30,A1,2018/10/8,Tot,29,R,G,NA,NA
31,A1,2018/10/8,Tot,30,M,G,NA,NA
32,A1,2018/10/8,Tot,31,F,G,NA,NA
33,A1,2018/10/8,Tot,32,M,G,NA,NA
34,A1,2018/10/8,Tot,33,F,G,NA,NA
35,A1,2018/10/8,Tot,34,F,G,NA,NA
36,A1,2018/10/8,Tot,35,R,G,NA,NA
37,A1,2018/10/8,Tot,36,R,G,NA,NA
