journal_name,start,end,total,include,rate
American Journal of Primatology,1980,1984,507,0,0
American Journal of Primatology,1985,1989,927,0,0
American Journal of Primatology,1990,1994,490,0,0
American Journal of Primatology,1995,1999,459,1,0.002178649237472767
American Journal of Primatology,2000,2004,548,0,0
American Journal of Primatology,2005,2009,1610,2,0.0012422360248447205
American Journal of Primatology,2010,2014,1510,21,0.01390728476821192
American Journal of Primatology,2015,2019,1040,12,0.011538461538461539
American Journal of Primatology,2020,2024,917,14,0.015267175572519083
International Journal of Primatology,1980,1984,311,0,0
International Journal of Primatology,1985,1989,550,0,0
International Journal of Primatology,1990,1994,279,1,0.0035842293906810036
International Journal of Primatology,1995,1999,363,0,0
International Journal of Primatology,2000,2004,406,0,0
International Journal of Primatology,2005,2009,526,1,0.0019011406844106464
International Journal of Primatology,2010,2014,445,14,0.03146067415730337
International Journal of Primatology,2015,2019,332,11,0.03313253012048193
International Journal of Primatology,2020,2024,341,17,0.04985337243401759
Primates,1980,1984,643,1,0.0015552099533437014
Primates,1985,1989,556,0,0
Primates,1990,1994,834,0,0
Primates,1995,1999,946,2,0.0021141649048625794
Primates,2000,2004,928,1,0.0010775862068965517
Primates,2005,2009,971,1,0.0010298661174047373
Primates,2010,2014,1050,14,0.013333333333333334
Primates,2015,2019,785,27,0.034394904458598725
Primates,2020,2024,716,19,0.02653631284916201
Folia Primatologica,1980,1984,227,0,0
Folia Primatologica,1985,1989,208,1,0.004807692307692308
Folia Primatologica,1990,1994,306,1,0.0032679738562091504
Folia Primatologica,1995,1999,413,0,0
Folia Primatologica,2000,2004,945,0,0
Folia Primatologica,2005,2009,529,2,0.003780718336483932
Folia Primatologica,2010,2014,515,7,0.013592233009708738
Folia Primatologica,2015,2019,556,9,0.01618705035971223
Folia Primatologica,2020,2024,267,4,0.0149812734082397
Animal Behaviour,1980,1984,1160,0,0
Animal Behaviour,1985,1989,1940,2,0.0010309278350515464
Animal Behaviour,1990,1994,2330,0,0
Animal Behaviour,1995,1999,2680,0,0
Animal Behaviour,2000,2004,2240,1,4.464285714285714e-4
Animal Behaviour,2005,2009,3140,18,0.005732484076433121
Animal Behaviour,2010,2014,2820,75,0.026595744680851064
Animal Behaviour,2015,2019,2700,106,0.03925925925925926
Animal Behaviour,2020,2024,2510,119,0.047410358565737054
Behavioral ecology and sociobiology,1980,1984,412,0,0
Behavioral ecology and sociobiology,1985,1989,536,0,0
Behavioral ecology and sociobiology,1990,1994,563,1,0.0017761989342806395
Behavioral ecology and sociobiology,1995,1999,561,0,0
Behavioral ecology and sociobiology,2000,2004,707,2,0.002828854314002829
Behavioral ecology and sociobiology,2005,2009,952,21,0.022058823529411766
Behavioral ecology and sociobiology,2010,2014,980,35,0.03571428571428571
Behavioral ecology and sociobiology,2015,2019,963,45,0.04672897196261682
Behavioral ecology and sociobiology,2020,2024,718,48,0.06685236768802229
Ecology,1980,1984,15700,9,5.732484076433121e-4
Ecology,1985,1989,22900,27,0.0011790393013100438
Ecology,1990,1994,36100,32,8.864265927977839e-4
Ecology,1995,1999,57400,33,5.749128919860627e-4
Ecology,2000,2004,83600,77,9.210526315789473e-4
Ecology,2005,2009,82400,294,0.0035679611650485435
Ecology,2010,2014,76600,715,0.00933420365535248
Ecology,2015,2019,55300,1510,0.027305605786618444
Ecology,2020,2024,26200,2370,0.09045801526717558
Ethology,1980,1984,804,0,0
Ethology,1985,1989,1020,2,0.00196078431372549
Ethology,1990,1994,1200,0,0
Ethology,1995,1999,1460,1,6.849315068493151e-4
Ethology,2000,2004,1140,0,0
Ethology,2005,2009,1320,2,0.0015151515151515152
Ethology,2010,2014,1940,21,0.010824742268041237
Ethology,2015,2019,2250,23,0.010222222222222223
Ethology,2020,2024,1120,36,0.03214285714285714
