,Kil,Kit,Koh,Kun,Kor,Ntr,Ten,Aka,Ako,Tot,Hot,Hen,Mal,Mik,Mei
Kil,,0.5,0.25,0.125,0.125,0,0,0,0,0,0,0,0,0,0
Kit,0.5,,0.125,0.0625,0.0625,0,0,0,0,0,0,0,0,0,0
Koh,0.25,0.125,,0.125,0.125,0,0,0,0,0,0,0,0,0,0
Kun,0.125,0.0625,0.125,,0.25,0,0,0,0,0,0,0,0,0,0
Kor,0.125,0.0625,0.125,0.25,,0,0,0,0,0,0,0,0,0,0
Ntr,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
Ten,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Aka,0,0,0,0,0,0,0,,0.25,0,0,0,0,0,0
Ako,0,0,0,0,0,0,0,0.25,,0,0,0,0,0,0
Tot,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Hot,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
Hen,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Mal,0,0,0,0,0,0,0,0,0,0,0,0,,0.5,0.125
Mik,0,0,0,0,0,0,0,0,0,0,0,0,0.5,,0.25
Mei,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.25,
