date,Mik,Kil,Koh,Aka,Ntr,Ten,Tot,Hen,Hot,Mei,Ako,Kor,Mal,Kit,Kun
2021/9/20,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1
2021/9/21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021/9/22,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
2021/9/23,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
2021/9/24,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2021/9/25,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2021/9/26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021/9/27,1,0,1,0,1,1,1,0,0,1,0,1,0,1,1
2021/9/28,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
2021/9/29,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1
2021/9/30,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
2021/10/2,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
2021/10/3,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1
2021/10/4,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0
2021/10/5,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1
2021/10/6,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
2021/10/7,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0
2021/10/8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021/10/9,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2021/10/10,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
2021/10/11,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2021/10/13,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2021/10/14,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
2021/10/15,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1
2021/10/16,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2021/10/17,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1
