,Kil,Kit,Koh,Kun,Kor,Ntr,Ten,Aka,Ako,Tot,Hot,Hen,Mal,Mik,Mei
Kil,,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Kit,1,,1,2,3,4,5,6,7,8,9,10,11,12,13
Koh,2,1,,1,2,3,4,5,6,7,8,9,10,11,12
Kun,3,2,1,,1,2,3,4,5,6,7,8,9,10,11
Kor,4,3,2,1,,1,2,3,4,5,6,7,8,9,10
Ntr,5,4,3,2,1,,1,2,3,4,5,6,7,8,9
Ten,6,5,4,3,2,1,,1,2,3,4,5,6,7,8
Aka,7,6,5,4,3,2,1,,1,2,3,4,5,6,7
Ako,8,7,6,5,4,3,2,1,,1,2,3,4,5,6
Tot,9,8,7,6,5,4,3,3,2,,1,2,3,4,5
Hot,10,9,8,7,6,5,4,5,3,1,,1,2,3,4
Hen,11,10,9,8,7,6,5,7,4,2,1,,1,2,3
Mal,12,11,10,9,8,7,6,9,5,3,2,1,,1,2
Mik,13,12,11,10,9,8,7,11,6,4,3,2,1,,1
Mei,14,13,12,11,10,9,8,13,7,5,4,3,2,1,
